origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-12,ILI incidence,2025-03-09,1,FI,quantile,0.15,112.57116694421872
2025-03-12,ILI incidence,2025-03-16,2,FI,quantile,0.15,93.40240735218752
2025-03-12,ILI incidence,2025-03-23,3,FI,quantile,0.15,78.21837290373534
2025-03-12,ILI incidence,2025-03-30,4,FI,quantile,0.15,65.9350858468308
2025-03-12,ILI incidence,2025-03-09,1,FI,quantile,0.2,113.80023921396732
2025-03-12,ILI incidence,2025-03-16,2,FI,quantile,0.2,95.03998983640852
2025-03-12,ILI incidence,2025-03-23,3,FI,quantile,0.2,80.08600070564044
2025-03-12,ILI incidence,2025-03-30,4,FI,quantile,0.2,67.94587384076841
2025-03-12,ILI incidence,2025-03-09,1,FI,quantile,0.25,114.997694354253
2025-03-12,ILI incidence,2025-03-16,2,FI,quantile,0.25,96.6354465167332
2025-03-12,ILI incidence,2025-03-23,3,FI,quantile,0.25,81.9055849291045
2025-03-12,ILI incidence,2025-03-30,4,FI,quantile,0.25,69.90493554822835
2025-03-12,ILI incidence,2025-03-09,1,FI,quantile,0.3,116.17020876216432
2025-03-12,ILI incidence,2025-03-16,2,FI,quantile,0.3,98.19767284316802
2025-03-12,ILI incidence,2025-03-23,3,FI,quantile,0.3,83.68727064462173
2025-03-12,ILI incidence,2025-03-30,4,FI,quantile,0.3,71.82319369478073
2025-03-12,ILI incidence,2025-03-09,1,FI,quantile,0.35,117.32362339457652
2025-03-12,ILI incidence,2025-03-16,2,FI,quantile,0.35,99.73445114788788
2025-03-12,ILI incidence,2025-03-23,3,FI,quantile,0.35,85.43993343560459
2025-03-12,ILI incidence,2025-03-30,4,FI,quantile,0.35,73.71020420829663
2025-03-12,ILI incidence,2025-03-09,1,FI,quantile,0.4,118.463181727479
2025-03-12,ILI incidence,2025-03-16,2,FI,quantile,0.4,101.25276769577556
2025-03-12,ILI incidence,2025-03-23,3,FI,quantile,0.4,87.17154098774358
2025-03-12,ILI incidence,2025-03-30,4,FI,quantile,0.4,75.57454552539474
2025-03-12,ILI incidence,2025-03-09,1,FI,quantile,0.45,119.59371600759532
