orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana,target
1,07,quantile,0.35,18.079584011993138,2025,51,ARI
2,07,quantile,0.35,20.65918514541297,2025,51,ARI
3,07,quantile,0.35,21.63734021893709,2025,51,ARI
4,07,quantile,0.35,19.786948741465725,2025,51,ARI
-1,07,quantile,0.4,14.093459828461858,2025,51,ARI
0,07,quantile,0.4,16.05562723390395,2025,51,ARI
1,07,quantile,0.4,18.259845095945835,2025,51,ARI
2,07,quantile,0.4,20.90007811594996,2025,51,ARI
3,07,quantile,0.4,22.096795071962127,2025,51,ARI
4,07,quantile,0.4,20.05513386767912,2025,51,ARI
-1,07,quantile,0.45,14.197351531691842,2025,51,ARI
0,07,quantile,0.45,16.227276517314003,2025,51,ARI
1,07,quantile,0.45,18.477150468034388,2025,51,ARI
2,07,quantile,0.45,21.101773647596985,2025,51,ARI
3,07,quantile,0.45,22.28070441943628,2025,51,ARI
4,07,quantile,0.45,20.468579508082303,2025,51,ARI
-1,07,quantile,0.5,14.35056088238878,2025,51,ARI
0,07,quantile,0.5,16.32955562969876,2025,51,ARI
1,07,quantile,0.5,18.60803657841705,2025,51,ARI
2,07,quantile,0.5,21.393532562703022,2025,51,ARI
3,07,quantile,0.5,22.67369107477316,2025,51,ARI
4,07,quantile,0.5,20.795373443709504,2025,51,ARI
-1,07,quantile,0.55,14.457671019399765,2025,51,ARI
0,07,quantile,0.55,16.473658797725104,2025,51,ARI
1,07,quantile,0.55,18.68947003537818,2025,51,ARI
2,07,quantile,0.55,21.47192361908339,2025,51,ARI
3,07,quantile,0.55,22.91304752068089,2025,51,ARI
4,07,quantile,0.55,21.389851672314453,2025,51,ARI
-1,07,quantile,0.6,14.52969451101367,2025,51,ARI
0,07,quantile,0.6,16.605805483953148,2025,51,ARI
1,07,quantile,0.6,18.81959811746262,2025,51,ARI
2,07,quantile,0.6,21.616273878375328,2025,51,ARI
3,07,quantile,0.6,23.08095341869849,2025,51,ARI
4,07,quantile,0.6,21.67855119175239,2025,51,ARI
-1,07,quantile,0.65,14.614007804856843,2025,51,ARI
0,07,quantile,0.65,16.72805483002597,2025,51,ARI
1,07,quantile,0.65,19.04262613161225,2025,51,ARI
2,07,quantile,0.65,21.91298123218878,2025,51,ARI
3,07,quantile,0.65,23.36543477007213,2025,51,ARI
4,07,quantile,0.65,22.093609236517626,2025,51,ARI
-1,07,quantile,0.7,14.819641970313803,2025,51,ARI
0,07,quantile,0.7,16.800865516263197,2025,51,ARI
1,07,quantile,0.7,19.287217040747624,2025,51,ARI
2,07,quantile,0.7,22.141727973233227,2025,51,ARI
3,07,quantile,0.7,23.642519458774206,2025,51,ARI
4,07,quantile,0.7,22.47243327691152,2025,51,ARI
-1,07,quantile,0.75,14.874556985766269,2025,51,ARI
0,07,quantile,0.75,16.93976361402335,2025,51,ARI
1,07,quantile,0.75,19.43096934183489,2025,51,ARI
2,07,quantile,0.75,22.46660751836257,2025,51,ARI
3,07,quantile,0.75,23.972491137425244,2025,51,ARI
4,07,quantile,0.75,22.915778575268803,2025,51,ARI
-1,07,quantile,0.8,15.000835299178943,2025,51,ARI
0,07,quantile,0.8,17.166322340880058,2025,51,ARI
1,07,quantile,0.8,19.803690097701423,2025,51,ARI
2,07,quantile,0.8,22.71746124368739,2025,51,ARI
3,07,quantile,0.8,24.192437793702783,2025,51,ARI
4,07,quantile,0.8,23.10610087715217,2025,51,ARI
-1,07,quantile,0.85,15.191289466655014,2025,51,ARI
0,07,quantile,0.85,17.427405221291092,2025,51,ARI
1,07,quantile,0.85,20.0816790623858,2025,51,ARI
2,07,quantile,0.85,23.03520001455025,2025,51,ARI
3,07,quantile,0.85,24.536051158581955,2025,51,ARI
4,07,quantile,0.85,23.560129966978405,2025,51,ARI
-1,07,quantile,0.9,15.26393654593297,2025,51,ARI
0,07,quantile,0.9,17.65837524473595,2025,51,ARI
1,07,quantile,0.9,20.46140740811192,2025,51,ARI
2,07,quantile,0.9,23.83086731442556,2025,51,ARI
3,07,quantile,0.9,24.866931515441763,2025,51,ARI
4,07,quantile,0.9,23.993868121499727,2025,51,ARI
-1,07,quantile,0.95,15.410588083281572,2025,51,ARI
0,07,quantile,0.95,17.796747428713253,2025,51,ARI
1,07,quantile,0.95,20.76269050704521,2025,51,ARI
2,07,quantile,0.95,24.33360964881158,2025,51,ARI
3,07,quantile,0.95,25.19496688048492,2025,51,ARI
4,07,quantile,0.95,24.35965315491553,2025,51,ARI
-1,07,quantile,0.975,15.623169153279036,2025,51,ARI
0,07,quantile,0.975,17.9334559121435,2025,51,ARI
1,07,quantile,0.975,21.302215044497057,2025,51,ARI
2,07,quantile,0.975,24.756647465275204,2025,51,ARI
3,07,quantile,0.975,25.437850812077368,2025,51,ARI
4,07,quantile,0.975,24.63749673005419,2025,51,ARI
-1,07,quantile,0.99,15.69766635226409,2025,51,ARI
0,07,quantile,0.99,18.104197968700944,2025,51,ARI
1,07,quantile,0.99,21.938447669814387,2025,51,ARI
2,07,quantile,0.99,25.46707098509388,2025,51,ARI
3,07,quantile,0.99,26.02175997539163,2025,51,ARI
4,07,quantile,0.99,24.93922550081645,2025,51,ARI
-1,IT,quantile,0.01,14.020838514475315,2025,51,ARI
0,IT,quantile,0.01,16.543369569839665,2025,51,ARI
1,IT,quantile,0.01,16.997554331639982,2025,51,ARI
2,IT,quantile,0.01,15.987617176591405,2025,51,ARI
3,IT,quantile,0.01,15.27779262545039,2025,51,ARI
4,IT,quantile,0.01,15.085938196737828,2025,51,ARI
-1,IT,quantile,0.025,14.084161134466571,2025,51,ARI
0,IT,quantile,0.025,16.621832833040266,2025,51,ARI
1,IT,quantile,0.025,17.122885427645148,2025,51,ARI
2,IT,quantile,0.025,16.107591050103025,2025,51,ARI
3,IT,quantile,0.025,15.343910338470288,2025,51,ARI
4,IT,quantile,0.025,15.126735507971372,2025,51,ARI
-1,IT,quantile,0.05,14.11268564892277,2025,51,ARI
0,IT,quantile,0.05,16.716016444381165,2025,51,ARI
1,IT,quantile,0.05,17.331631230518497,2025,51,ARI
2,IT,quantile,0.05,16.30296152760973,2025,51,ARI
3,IT,quantile,0.05,15.44376536818272,2025,51,ARI
4,IT,quantile,0.05,15.260947810469814,2025,51,ARI
-1,IT,quantile,0.1,14.179541398201234,2025,51,ARI
0,IT,quantile,0.1,16.832469265214904,2025,51,ARI
1,IT,quantile,0.1,17.548960296507087,2025,51,ARI
2,IT,quantile,0.1,16.525674966023427,2025,51,ARI
3,IT,quantile,0.1,15.622317287913283,2025,51,ARI
4,IT,quantile,0.1,15.444764819350643,2025,51,ARI
-1,IT,quantile,0.15,14.245892315221717,2025,51,ARI
0,IT,quantile,0.15,16.885797418060978,2025,51,ARI
1,IT,quantile,0.15,17.71220289450475,2025,51,ARI
2,IT,quantile,0.15,16.748412820916382,2025,51,ARI
3,IT,quantile,0.15,15.930227552543942,2025,51,ARI
4,IT,quantile,0.15,15.621485818752356,2025,51,ARI
-1,IT,quantile,0.2,14.29601364830206,2025,51,ARI
0,IT,quantile,0.2,16.94156599963118,2025,51,ARI
1,IT,quantile,0.2,17.839875454553138,2025,51,ARI
2,IT,quantile,0.2,16.999959344773192,2025,51,ARI
3,IT,quantile,0.2,16.111732126272095,2025,51,ARI
4,IT,quantile,0.2,15.963251620718191,2025,51,ARI
