anno,settimana,luogo,tipo_valore,id_valore,orizzonte,target,valore
2025,2,03,quantile,0.4,0,ILI,10.9717
2025,2,03,quantile,0.4,1,ILI,12.257040494825585
2025,2,03,quantile,0.4,2,ILI,11.808859954132377
2025,2,03,quantile,0.4,3,ILI,11.157175095805773
2025,2,03,quantile,0.4,4,ILI,10.26761238352024
2025,2,03,quantile,0.45,-1,ILI,11.2224
2025,2,03,quantile,0.45,0,ILI,11.4838
2025,2,03,quantile,0.45,1,ILI,12.540923701462075
2025,2,03,quantile,0.45,2,ILI,12.17950931448081
2025,2,03,quantile,0.45,3,ILI,11.565567548612021
2025,2,03,quantile,0.45,4,ILI,10.793999601554969
2025,2,03,quantile,0.5,-1,ILI,11.6324
2025,2,03,quantile,0.5,0,ILI,11.9267
2025,2,03,quantile,0.5,1,ILI,12.837069294916132
2025,2,03,quantile,0.5,2,ILI,12.581023246475187
2025,2,03,quantile,0.5,3,ILI,12.037416280246987
2025,2,03,quantile,0.5,4,ILI,11.351881967069247
2025,2,03,quantile,0.55,-1,ILI,12.1084
2025,2,03,quantile,0.55,0,ILI,12.3302
2025,2,03,quantile,0.55,1,ILI,13.075102415722835
2025,2,03,quantile,0.55,2,ILI,12.89164555501271
2025,2,03,quantile,0.55,3,ILI,12.461104347816482
2025,2,03,quantile,0.55,4,ILI,11.758911998224669
2025,2,03,quantile,0.6,-1,ILI,12.4771
2025,2,03,quantile,0.6,0,ILI,12.6816
2025,2,03,quantile,0.6,1,ILI,13.299940304944833
2025,2,03,quantile,0.6,2,ILI,13.202833686400833
2025,2,03,quantile,0.6,3,ILI,12.86829264376005
2025,2,03,quantile,0.6,4,ILI,12.229253057700774
2025,2,03,quantile,0.65,-1,ILI,12.8637
2025,2,03,quantile,0.65,0,ILI,13.0627
2025,2,03,quantile,0.65,1,ILI,13.497006736625536
2025,2,03,quantile,0.65,2,ILI,13.506441870816774
2025,2,03,quantile,0.65,3,ILI,13.206892698596402
2025,2,03,quantile,0.65,4,ILI,12.601379678592075
2025,2,03,quantile,0.7,-1,ILI,13.2156
2025,2,03,quantile,0.7,0,ILI,13.4285
2025,2,03,quantile,0.7,1,ILI,13.740011889777849
2025,2,03,quantile,0.7,2,ILI,13.859274804063642
2025,2,03,quantile,0.7,3,ILI,13.67601122062866
2025,2,03,quantile,0.7,4,ILI,13.135004043367037
2025,2,03,quantile,0.75,-1,ILI,13.6436
2025,2,03,quantile,0.75,0,ILI,13.8164
2025,2,03,quantile,0.75,1,ILI,14.010144440571494
2025,2,03,quantile,0.75,2,ILI,14.21808155174012
2025,2,03,quantile,0.75,3,ILI,14.073310955299947
2025,2,03,quantile,0.75,4,ILI,13.625495883803623
2025,2,03,quantile,0.8,-1,ILI,14.1247
2025,2,03,quantile,0.8,0,ILI,14.176
2025,2,03,quantile,0.8,1,ILI,14.256404869336055
2025,2,03,quantile,0.8,2,ILI,14.516151160174672
2025,2,03,quantile,0.8,3,ILI,14.45353311639617
2025,2,03,quantile,0.8,4,ILI,14.102324315791906
2025,2,03,quantile,0.85,-1,ILI,14.6714
2025,2,03,quantile,0.85,0,ILI,14.6805
2025,2,03,quantile,0.85,1,ILI,14.572445712723336
2025,2,03,quantile,0.85,2,ILI,14.875773497459921
2025,2,03,quantile,0.85,3,ILI,14.925503490128442
2025,2,03,quantile,0.85,4,ILI,14.592846421087945
2025,2,03,quantile,0.9,-1,ILI,15.2876
2025,2,03,quantile,0.9,0,ILI,15.3457
2025,2,03,quantile,0.9,1,ILI,14.89645539338132
2025,2,03,quantile,0.9,2,ILI,15.34850121687074
2025,2,03,quantile,0.9,3,ILI,15.48977737712014
2025,2,03,quantile,0.9,4,ILI,15.263758579852075
2025,2,03,quantile,0.95,-1,ILI,16.251
2025,2,03,quantile,0.95,0,ILI,16.332
2025,2,03,quantile,0.95,1,ILI,15.472190747392927
2025,2,03,quantile,0.95,2,ILI,16.075291372931925
2025,2,03,quantile,0.95,3,ILI,16.2823531096574
2025,2,03,quantile,0.95,4,ILI,16.09205112390826
2025,2,03,quantile,0.975,-1,ILI,17.1095
2025,2,03,quantile,0.975,0,ILI,17.1249
2025,2,03,quantile,0.975,1,ILI,15.941779770069646
2025,2,03,quantile,0.975,2,ILI,16.600635841141536
2025,2,03,quantile,0.975,3,ILI,16.83381071242829
2025,2,03,quantile,0.975,4,ILI,16.745427718450205
2025,2,03,quantile,0.99,-1,ILI,18.1081
2025,2,03,quantile,0.99,0,ILI,18.2238
2025,2,03,quantile,0.99,1,ILI,16.528300312023088
2025,2,03,quantile,0.99,2,ILI,17.002206973932854
2025,2,03,quantile,0.99,3,ILI,17.414771944770337
2025,2,03,quantile,0.99,4,ILI,17.403469952803782
2025,2,04,quantile,0.01,-1,ILI,1.3922
2025,2,04,quantile,0.01,0,ILI,1.2438
2025,2,04,quantile,0.01,1,ILI,9.246120951591307
2025,2,04,quantile,0.01,2,ILI,6.908217068501227
2025,2,04,quantile,0.01,3,ILI,5.108846103464647
2025,2,04,quantile,0.01,4,ILI,3.724846121858054
2025,2,04,quantile,0.025,-1,ILI,2.1374
2025,2,04,quantile,0.025,0,ILI,1.7764
2025,2,04,quantile,0.025,1,ILI,9.485890343097592
2025,2,04,quantile,0.025,2,ILI,7.1615089287621885
2025,2,04,quantile,0.025,3,ILI,5.3459649327312215
2025,2,04,quantile,0.025,4,ILI,3.8880120340489754
2025,2,04,quantile,0.05,-1,ILI,3.0638
2025,2,04,quantile,0.05,0,ILI,2.6527
2025,2,04,quantile,0.05,1,ILI,9.777732038056367
2025,2,04,quantile,0.05,2,ILI,7.456449569490315
2025,2,04,quantile,0.05,3,ILI,5.629159074777331
2025,2,04,quantile,0.05,4,ILI,4.183281652634345
2025,2,04,quantile,0.1,-1,ILI,4.8802
2025,2,04,quantile,0.1,0,ILI,4.3939
2025,2,04,quantile,0.1,1,ILI,10.48572574249498
2025,2,04,quantile,0.1,2,ILI,8.149307034514537
2025,2,04,quantile,0.1,3,ILI,6.272048954058057
2025,2,04,quantile,0.1,4,ILI,4.802788851433473
2025,2,04,quantile,0.15,-1,ILI,6.3583
2025,2,04,quantile,0.15,0,ILI,6.4703
2025,2,04,quantile,0.15,1,ILI,11.225275934961843
2025,2,04,quantile,0.15,2,ILI,8.96224010984445
2025,2,04,quantile,0.15,3,ILI,7.0668563473504244
2025,2,04,quantile,0.15,4,ILI,5.519336676219079
2025,2,04,quantile,0.2,-1,ILI,7.787
2025,2,04,quantile,0.2,0,ILI,7.7196
2025,2,04,quantile,0.2,1,ILI,11.833350313738672
2025,2,04,quantile,0.2,2,ILI,9.653636847380838
2025,2,04,quantile,0.2,3,ILI,7.817329860121194
2025,2,04,quantile,0.2,4,ILI,6.24572816115353
2025,2,04,quantile,0.25,-1,ILI,8.7844
2025,2,04,quantile,0.25,0,ILI,8.9081
2025,2,04,quantile,0.25,1,ILI,12.317350462423711
2025,2,04,quantile,0.25,2,ILI,10.251230825656584
2025,2,04,quantile,0.25,3,ILI,8.438252584913773
2025,2,04,quantile,0.25,4,ILI,6.905365048768878
2025,2,04,quantile,0.3,-1,ILI,9.5641
2025,2,04,quantile,0.3,0,ILI,9.8692
2025,2,04,quantile,0.3,1,ILI,12.712926432667297
2025,2,04,quantile,0.3,2,ILI,10.714253134526004
2025,2,04,quantile,0.3,3,ILI,9.003813623144508
2025,2,04,quantile,0.3,4,ILI,7.479779606104516
2025,2,04,quantile,0.35,-1,ILI,10.2342
2025,2,04,quantile,0.35,0,ILI,10.7465
2025,2,04,quantile,0.35,1,ILI,13.051693910802243
2025,2,04,quantile,0.35,2,ILI,11.099867812842936
2025,2,04,quantile,0.35,3,ILI,9.432617510229795
2025,2,04,quantile,0.35,4,ILI,7.930505731185451
2025,2,04,quantile,0.4,-1,ILI,10.9274
2025,2,04,quantile,0.4,0,ILI,11.2204
2025,2,04,quantile,0.4,1,ILI,13.316530398873603
2025,2,04,quantile,0.4,2,ILI,11.454691878817938
2025,2,04,quantile,0.4,3,ILI,9.828282181656762
2025,2,04,quantile,0.4,4,ILI,8.38440877964378
2025,2,04,quantile,0.45,-1,ILI,11.5171
2025,2,04,quantile,0.45,0,ILI,11.681
2025,2,04,quantile,0.45,1,ILI,13.554833904929295
2025,2,04,quantile,0.45,2,ILI,11.776074323343039
2025,2,04,quantile,0.45,3,ILI,10.213013649796501
